Time   HR;V'O2;/V'O2;V'CO;2 RER;V'E;BF;VTex FICO;2FIO2 FECO;2FEO2 EE/d;CHO;gFAT g/d
min  1/mi;n(mL/;mmL/m;imL/m;in;L/mi;n1/mi;n   L    %;%    %;% kcal;/g/da;yg/day
0Warmup;;;;;;;;;;;
0Test;;;;;;;;;;;
00.10;03.07;238;185;0,054166667;7;17.01;2,916724537;1,481585648;16.961.613;64;99
00.20;05.05;359;279;0,054166667;12;19.03;4,236168981;1,481435185;17.112.449;111;166
00.30;05.04;353;272;0,053472222;12;25.06.00;3,159780093;1,481215278;17.822.403;98;167
00.40;05.02;337;264;0,054166667;11;19.08;3,694502315;1,481527778;17.052.298;116;148
00.50;05.04;349;279;0,055555556;12;19.04;4,180613426;1,481354167;17.292.396;156;141
01.00;04.04;283;228;0,05625;9;17.04;3,791724537;1,481342593;17.331.940;130;105
01.10;04.07;302;247;0,056944444;10;19.01;3,659780093;1,481400463;17.302.078;160;106
01.20;07.06;494;408;0,057638889;16;19.04;5,819502315;1,481481481;17.273.419;312;180
01.30;04.08;310;255;0,056944444;11;20.09;3,569502315;20.932.83;17.672.131;175;105
01.40;04.04;283;231;0,056944444;10;15.06;4,50005787;20.932.94;17.541.942;149;96
01.50;04.04;284;231;0,05625;9;15.02;4,243113426;1,481446759;17.241.950;140;101
02.00;04.01;268;217;0,05625;9;16.05;3,87505787;1,481261574;17.421.835;126;95
02.10;04.01;269;218;0,05625;9;16.07;3,902835648;20.932.98;17.461.842;126;96
02.20;04.01;263;212;0,05625;9;15.09;4,132002315;20.932.88;17.561.801;118;95
02.30;04.01;268;216;0,05625;9;15.08;4,069502315;20.932.98;17.441.830;121;97
02.40;04.02;272;221;0,05625;9;15.03;4,118113426;1,481388889;17.301.867;134;95
02.50;04.03;281;230;0,056944444;9;14.07;4,333391204;1,481469907;17.231.932;147;96
03.00;04.04;286;234;0,056944444;9;15.04;4,236168981;1,481446759;17.251.964;148;99
03.10;04.03;278;227;0,056944444;9;15.00;4,319502315;1,481400463;17.311.911;143;96
03.20;04.01;266;217;0,056944444;9;15.05;4,166724537;1,48125;17.461.823;138;89
03.30;04.00;261;214;0,056944444;9;15.01;4,138946759;1,48130787;17.411.790;137;86
03.40;03.07;240;196;0,056944444;8;14.04;4,020891204;1,48125;17.461.641;122;77
03.50;03.06;233;190;0,056944444;8;13.03;4,270891204;20.932.97;17.491.593;113;76
04.00;04.01;266;215;0,05625;9;16.00;4,041724537;20.932.96;17.481.818;126;93
04.10;04.01;264;213;0,05625;9;16.06;3,777835648;1,481273148;17.391.808;118;96
04.20;04.02;274;219;0,055555556;9;17.00;3,840335648;20.932.99;17.421.869;116;103
04.30;04.02;274;218;0,055555556;9;16.04;3,888946759;1,481296296;17.331.872;107;107
04.40;03.08;250;198;0,054861111;8;15.01;3,791724537;1,481331019;17.291.703;90;97
