Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,72,,,,,,,,,
,00:00:05,72,,,,,,,,,
,00:00:06,72,,,,,,,,,
,00:00:07,72,,,,,,,,,
,00:00:08,73,,,,,,,,,
,00:00:09,73,,,,,,,,,
,00:00:10,72,,,,,,,,,
,00:00:11,72,,,,,,,,,
,00:00:12,72,,,,,,,,,
,00:00:13,72,,,,,,,,,
,00:00:14,72,,,,,,,,,
,00:00:15,72,,,,,,,,,
,00:00:16,72,,,,,,,,,
,00:00:17,72,,,,,,,,,
,00:00:18,71,,,,,,,,,
,00:00:19,71,,,,,,,,,
,00:00:20,72,,,,,,,,,
,00:00:21,73,,,,,,,,,
,00:00:22,74,,,,,,,,,
,00:00:23,74,,,,,,,,,
,00:00:24,76,,,,,,,,,
,00:00:25,77,,,,,,,,,
,00:00:26,79,,,,,,,,,
,00:00:27,81,,,,,,,,,
,00:00:28,82,,,,,,,,,
,00:00:29,82,,,,,,,,,
,00:00:30,82,,,,,,,,,
,00:00:31,82,,,,,,,,,
,00:00:32,82,,,,,,,,,
,00:00:33,81,,,,,,,,,
,00:00:34,80,,,,,,,,,
,00:00:35,79,,,,,,,,,
,00:00:36,78,,,,,,,,,
,00:00:37,76,,,,,,,,,
,00:00:38,76,,,,,,,,,
,00:00:39,75,,,,,,,,,
,00:00:40,74,,,,,,,,,
,00:00:41,74,,,,,,,,,
,00:00:42,73,,,,,,,,,
,00:00:43,72,,,,,,,,,
,00:00:44,71,,,,,,,,,
,00:00:45,71,,,,,,,,,
,00:00:46,70,,,,,,,,,
,00:00:47,70,,,,,,,,,
,00:00:48,70,,,,,,,,,
,00:00:49,70,,,,,,,,,
,00:00:50,69,,,,,,,,,
,00:00:51,69,,,,,,,,,
,00:00:52,69,,,,,,,,,
,00:00:53,68,,,,,,,,,
,00:00:54,68,,,,,,,,,
,00:00:55,68,,,,,,,,,
,00:00:56,68,,,,,,,,,
,00:00:57,68,,,,,,,,,
,00:00:58,68,,,,,,,,,
,00:00:59,67,,,,,,,,,
,00:01:00,67,,,,,,,,,
,00:01:01,67,,,,,,,,,
,00:01:02,67,,,,,,,,,
,00:01:03,67,,,,,,,,,
,00:01:04,67,,,,,,,,,
,00:01:05,67,,,,,,,,,
,00:01:06,67,,,,,,,,,
,00:01:07,67,,,,,,,,,
,00:01:08,67,,,,,,,,,
,00:01:09,67,,,,,,,,,
,00:01:10,67,,,,,,,,,
,00:01:11,67,,,,,,,,,
,00:01:12,67,,,,,,,,,
,00:01:13,67,,,,,,,,,
,00:01:14,67,,,,,,,,,
,00:01:15,67,,,,,,,,,
,00:01:16,67,,,,,,,,,
,00:01:17,67,,,,,,,,,
,00:01:18,68,,,,,,,,,
,00:01:19,68,,,,,,,,,
,00:01:20,68,,,,,,,,,
,00:01:21,68,,,,,,,,,
,00:01:22,68,,,,,,,,,
,00:01:23,68,,,,,,,,,
,00:01:24,68,,,,,,,,,
,00:01:25,68,,,,,,,,,
,00:01:26,68,,,,,,,,,
,00:01:27,69,,,,,,,,,
,00:01:28,69,,,,,,,,,
,00:01:29,68,,,,,,,,,
,00:01:30,68,,,,,,,,,
,00:01:31,68,,,,,,,,,
,00:01:32,68,,,,,,,,,
,00:01:33,68,,,,,,,,,
,00:01:34,68,,,,,,,,,
,00:01:35,68,,,,,,,,,
,00:01:36,68,,,,,,,,,
,00:01:37,68,,,,,,,,,
,00:01:38,69,,,,,,,,,
,00:01:39,69,,,,,,,,,
,00:01:40,69,,,,,,,,,
,00:01:41,69,,,,,,,,,
,00:01:42,69,,,,,,,,,
,00:01:43,69,,,,,,,,,
,00:01:44,69,,,,,,,,,
,00:01:45,69,,,,,,,,,
,00:01:46,70,,,,,,,,,
,00:01:47,70,,,,,,,,,
,00:01:48,70,,,,,,,,,
,00:01:49,70,,,,,,,,,
,00:01:50,70,,,,,,,,,
,00:01:51,70,,,,,,,,,
,00:01:52,71,,,,,,,,,
,00:01:53,71,,,,,,,,,
,00:01:54,71,,,,,,,,,
,00:01:55,71,,,,,,,,,
,00:01:56,71,,,,,,,,,
,00:01:57,70,,,,,,,,,
,00:01:58,70,,,,,,,,,
,00:01:59,70,,,,,,,,,
,00:02:00,70,,,,,,,,,
,00:02:01,70,,,,,,,,,
,00:02:02,70,,,,,,,,,
,00:02:03,70,,,,,,,,,
,00:02:04,70,,,,,,,,,
,00:02:05,70,,,,,,,,,
,00:02:06,70,,,,,,,,,
,00:02:07,70,,,,,,,,,
,00:02:08,70,,,,,,,,,
,00:02:09,70,,,,,,,,,
,00:02:10,70,,,,,,,,,
,00:02:11,70,,,,,,,,,
,00:02:12,70,,,,,,,,,
,00:02:13,70,,,,,,,,,
,00:02:14,71,,,,,,,,,
,00:02:15,71,,,,,,,,,
,00:02:16,70,,,,,,,,,
,00:02:17,71,,,,,,,,,
,00:02:18,71,,,,,,,,,
,00:02:19,71,,,,,,,,,
,00:02:20,71,,,,,,,,,
,00:02:21,71,,,,,,,,,
,00:02:22,71,,,,,,,,,
,00:02:23,71,,,,,,,,,
,00:02:24,71,,,,,,,,,
,00:02:25,71,,,,,,,,,
,00:02:26,71,,,,,,,,,
,00:02:27,71,,,,,,,,,
,00:02:28,71,,,,,,,,,
,00:02:29,71,,,,,,,,,
,00:02:30,71,,,,,,,,,
,00:02:31,70,,,,,,,,,
,00:02:32,70,,,,,,,,,
,00:02:33,70,,,,,,,,,
,00:02:34,70,,,,,,,,,
,00:02:35,70,,,,,,,,,
,00:02:36,70,,,,,,,,,
,00:02:37,70,,,,,,,,,
,00:02:38,70,,,,,,,,,
,00:02:39,70,,,,,,,,,
,00:02:40,70,,,,,,,,,
,00:02:41,70,,,,,,,,,
,00:02:42,70,,,,,,,,,
,00:02:43,70,,,,,,,,,
,00:02:44,70,,,,,,,,,
,00:02:45,70,,,,,,,,,
,00:02:46,70,,,,,,,,,
,00:02:47,70,,,,,,,,,
,00:02:48,70,,,,,,,,,
,00:02:49,70,,,,,,,,,
,00:02:50,71,,,,,,,,,
,00:02:51,71,,,,,,,,,
,00:02:52,71,,,,,,,,,
,00:02:53,72,,,,,,,,,
,00:02:54,72,,,,,,,,,
,00:02:55,72,,,,,,,,,
,00:02:56,72,,,,,,,,,
